TargetGene	Cell	log2FC.D14	RRA.padj.
PSMD2	HEK293FT	-3.25232889407174	2.0856870251332e-23
AQR	HEK293FT	-2.74909520886853	2.34835364222166e-19
RPL30	HEK293FT	-2.56977172151631	4.00785688272497e-17
RPLP0	HEK293FT	-2.11524119319564	5.21421756283301e-16
SMU1	HEK293FT	-2.59825333394441	5.53929657127246e-16
EEF1A1	HEK293FT	-2.05557696270666	5.13005680988797e-15
SNRPD2	HEK293FT	-1.81246343527781	2.77136672110279e-13
RPL7	HEK293FT	-2.24223283041877	6.34053849998951e-13
HSP90AB1	HEK293FT	-1.85125980801877	6.54510688614229e-13
CKAP5	HEK293FT	-1.94493457102582	1.55521421609307e-12
NUP93	HEK293FT	-1.67084118823085	1.55521421609307e-12
RPL13A	HEK293FT	-2.18726501557936	1.55521421609307e-12
RPS26	HEK293FT	-2.03387688863763	1.55521421609307e-12
RPL18	HEK293FT	-1.70385386903567	2.09523443364341e-12
HNRNPH1	HEK293FT	-1.63675817628907	2.4830714513357e-12
COPA	HEK293FT	-2.01097845331856	3.6122773479408e-12
MED14	HEK293FT	-1.64515965831995	4.79789080756517e-12
RPS6	HEK293FT	-1.92993701185532	7.51040354161813e-12
VCP	HEK293FT	-1.93195437221301	7.51040354161813e-12
CSE1L	HEK293FT	-1.72448050354426	8.7380518701278e-12
RPL21	HEK293FT	-1.71597087337809	8.7380518701278e-12
WBP11	HEK293FT	-1.5816371815374	9.1795371080932e-12
PSMD1	HEK293FT	-1.85545373839089	1.14021562653702e-11
PRPF8	HEK293FT	-1.85678766911114	1.33634313075153e-11
SF3B1	HEK293FT	-1.65996510193656	2.16201154023104e-11
TRRAP	HEK293FT	-1.49597067515981	2.66590354216036e-11
RPLP2	HEK293FT	-1.53216067869497	2.78437013408393e-11
CCT2	HEK293FT	-1.61696432522434	3.84483662638625e-11
TCP1	HEK293FT	-1.69863681158813	3.84483662638625e-11
EIF3B	HEK293FT	-1.63317792933475	4.01238235588967e-11
XPO1	HEK293FT	-1.5368582500632	6.9867471776533e-11
COPB1	HEK293FT	-1.62736268630661	7.07712221371149e-11
PSMD6	HEK293FT	-1.49082089287703	1.06156160557762e-10
RPL6	HEK293FT	-1.99094834180858	1.15289427455747e-10
POLR2B	HEK293FT	-1.3977727023817	1.63074640784746e-10
RPL34	HEK293FT	-1.27452661499431	1.63074640784746e-10
EFTUD2	HEK293FT	-1.48240040901128	1.79619824830263e-10
EP400	HEK293FT	-1.40521073934455	2.50920904556028e-10
KPNB1	HEK293FT	-1.4624043946111	2.59244233152524e-10
RPS5	HEK293FT	-1.44066628170814	2.67905650770087e-10
KPNA2	HEK293FT	-1.37276730776678	3.28497502817861e-10
NHP2L1	HEK293FT	-1.70850591234267	3.48763147772066e-10
WDR75	HEK293FT	-1.48769005652315	3.70241192798059e-10
SFPQ	HEK293FT	-1.67214681568578	4.26236091525235e-10
UBA52	HEK293FT	-1.71379095031045	4.64009350989412e-10
RPA1	HEK293FT	-1.32656807564799	5.04661351025377e-10
SON	HEK293FT	-1.39824561997635	5.82991282924308e-10
DDX18	HEK293FT	-1.34375987122327	6.13776580605854e-10
RAN	HEK293FT	-1.42660589551522	6.13776580605854e-10
HEATR1	HEK293FT	-1.38272909857917	8.7762816398494e-10
HNRNPA2B1	HEK293FT	-1.27032252992695	8.7762816398494e-10
WDR43	HEK293FT	-1.61011684894598	9.94214480630399e-10
ANAPC2	HEK293FT	-1.40354602597494	1.00626284879487e-09
RPS11	HEK293FT	-1.35396439988647	1.05246287508464e-09
PSMD13	HEK293FT	-1.5959873109371	1.38129502274168e-09
BUD31	HEK293FT	-1.21020332090345	1.60324977614694e-09
SF3A3	HEK293FT	-1.08105530702826	1.64650448259168e-09
RPL24	HEK293FT	-1.29129717704006	1.69103378514313e-09
CCT8	HEK293FT	-1.53883366026142	1.8142609233161e-09
ACTL6A	HEK293FT	-1.39382576687828	2.03044287777468e-09
RPS9	HEK293FT	-1.29464832276291	2.08421315744156e-09
SNRNP200	HEK293FT	-1.87542654548099	2.48854942750513e-09
METAP2	HEK293FT	-1.13624563787742	2.81654825025704e-09
RPL14	HEK293FT	-1.36165244910051	2.82816160719882e-09
PSMB5	HEK293FT	-1.44493816888255	3.03591669109245e-09
SF3B3	HEK293FT	-1.46722137244943	3.03591669109245e-09
