GuideUID	TargetGene	Cell	Type	log2FC.D7	log2FC.D14
UID_032673	NDUFAB1	HAP1	PM	-1.67146112093313	-2.94992193093858
UID_032674	NDUFAB1	HAP1	SM	-0.0412950135792413	-0.0128038909586719
UID_032675	NDUFAB1	HAP1	SM	-1.48440655026615	-2.98336730470932
UID_032676	NDUFAB1	HAP1	SM	-1.60507768199035	-2.22674994117583
UID_032677	NDUFAB1	HAP1	SM	-1.47274421016471	-2.78625238116019
UID_032678	NDUFAB1	HAP1	SM	-1.9061524399689	-4.04951038492732
UID_032679	NDUFAB1	HAP1	SM	0.097144448039373	-0.00842692767936319
UID_032680	NDUFAB1	HAP1	SM	-0.105378718051583	-0.107697289164772
UID_032681	NDUFAB1	HAP1	SM	-1.71409122311481	-2.64983140391996
UID_032682	NDUFAB1	HAP1	SM	-1.51321597017321	-2.74044571953092
UID_032683	NDUFAB1	HAP1	SM	-2.00796549924967	-4.14064195866778
UID_032684	NDUFAB1	HAP1	PM	-1.2617318577184	-2.07664366664031
UID_032685	NDUFAB1	HAP1	SM	0.128343753761359	0.248231518689395
UID_032686	NDUFAB1	HAP1	SM	-0.0275147178078611	-0.212814654806321
UID_032687	NDUFAB1	HAP1	SM	-0.310235349349386	-1.05147529757275
UID_032688	NDUFAB1	HAP1	SM	-0.243714619557662	-0.472563040836478
UID_032689	NDUFAB1	HAP1	SM	-1.2742281322338	-2.87092677187288
UID_032690	NDUFAB1	HAP1	SM	0.232695853819625	0.233062867374069
UID_032691	NDUFAB1	HAP1	SM	-0.488007767035167	-1.07766335995213
UID_032692	NDUFAB1	HAP1	SM	-0.0928575112584053	-0.169158286975581
UID_032693	NDUFAB1	HAP1	SM	-1.03165936819414	-1.7714484442528
UID_032694	NDUFAB1	HAP1	SM	-1.20745489085309	-2.26210249450974
UID_032695	NDUFAB1	HAP1	PM	-1.18207037057476	-1.68860144075021
UID_032696	NDUFAB1	HAP1	SM	0.0578008195391904	-0.0660836897682484
